application_id,customer_id,customer_name,application_date,product_type,loan_amount,loan_term_months,interest_rate,annual_income,employment_status,application_status
APP00233,CUST1309,,2025/01/24,personal loan,,24,4.01,132954,Student,approved
APP00673,CUST1265,,17-Jan-2024,,5160,60,8.05,35086,Self-Employed,Approved
APP00863,CUST2461,,"April 15, 2025",Mortgage,62534,36,,27631,employed,Approved
APP00376,CUST1374,Michael Brown,31/01/2025,Mortgage,,24,8.11,26876,employed,
APP00255,CUST1936,,28/12/2024,personal loan,17954,,3.56,, employed ,Pending
APP00482,CUST2221,Olivia Taylor,2024/10/12, Business Loan ,68710,60,8.04,,Self-Employed,Approved
APP00420,CUST1750,Michael Anderson,23-Jul-2024,Personal Loan,53320,24,6.33,,employed, pending 
APP00291,CUST2911,Olivia Taylor,04-10-2024,personal loan,,60,7.24,69660,Unemployed,Pending
APP00263,CUST2803,Daniel Brown,30-Mar-2025,Mortgage,5242,12,,84710,Student,Approved
APP00439,CUST1448,John Smith,12-Jul-2025,Mortgage,9144,36,,147591,Employed,
APP00187,CUST1276,Emma Anderson,2023-12-14, Business Loan ,,,8.91,,Unemployed,Approved
APP00049,CUST1660,,"July 26, 2025",personal loan,18973,60,12.24,83442,Unemployed,Pending
APP00641,CUST1421,Emma Smith,11-Oct-2024,Personal Loan,70847,24,12.8,,Unemployed, pending 
APP00398,CUST2530,Emma Taylor,"January 25, 2024",,25655,,10.94,147392,Unemployed, pending 
APP00855,CUST1226,John Smith,27-Dec-2023,,,12,,,Employed, pending 
APP00265,CUST1709,Olivia Taylor,2026-02-01,,,12,,, employed ,Pending
APP00796,CUST1754,,02/08/2024,Personal Loan,16339,12,,, employed ,Under Review
APP00270,CUST2512,Sophia Anderson,2023/11/15,Mortgage,,12,,,Self-Employed,Rejected
APP00739,CUST2032,Michael Brown,23-Oct-2023,Car Loan,,24,12.82,,employed,Pending
APP00718,CUST1551,Michael Smith,12-Apr-2024,,30326,48,,24307, employed ,Under Review
APP00152,CUST1000,John Brown,17-Nov-2025, Business Loan ,,36,14.51,103306,Student,Pending
APP00180,CUST2190,,18-Dec-2024,Car Loan,,36,8.75,36240, employed ,Pending
APP00472,CUST2999,Olivia Smith,2024-07-28,Personal Loan,10557,36,13.71,117363,Unemployed,Pending
APP00720,CUST2342,John Johnson,"July 17, 2023",Mortgage,24617,60,,103424,Employed,Pending
APP00746,CUST2836,John Johnson,2023/10/21,Personal Loan,59877,48,8.24,,,Under Review
APP00048,CUST2817,Daniel Taylor,03-Oct-2024,Car Loan,,12,,,Self-Employed,
APP00003,CUST2377,,2024/06/06,,57207,36,7.89,130871,Employed,Under Review
APP00360,CUST1509,Olivia Anderson,07-09-2024,Car Loan,44392,,,26556,Employed, pending 
APP00604,CUST1041,John Anderson,06-08-2024,Education Loan,,12,,129088,Unemployed,Approved
APP00826,CUST1377,Emma Johnson,07/11/2024,,14013,,,141168,Unemployed,
APP00497,CUST2090,Michael Smith,06/03/2024,Car Loan,,36,13.65,,Student, pending 
APP00319,CUST1409,Olivia Smith,07-25-2023,Education Loan,,48,11.77,21663, employed ,Under Review
APP00353,CUST1379,John Anderson,24-Jun-2025,Personal Loan,,,9.84,45253, employed ,Approved
APP00423,CUST1848,Emma Brown,2023/11/04,Personal Loan,52040,36,14.84,50530,employed, pending 
APP00744,CUST2134,Michael Smith,2024-08-05,,,,,,Student,Under Review
APP00485,CUST2655,Sophia Taylor,2025-02-20, Business Loan ,,,,85302,Student,Under Review
APP00202,CUST2549,,11/12/2023,Education Loan,30575,60,12.13,142704,Employed,Under Review
APP00406,CUST1397,Olivia Anderson,"October 19, 2023",Mortgage,55349,12,,,Unemployed,Approved
APP00185,CUST2376,Daniel Anderson,"August 17, 2024",Education Loan,76974,48,13.3,137600,,Approved
APP00273,CUST2249,,05/10/2025,Car Loan,,,,63706, employed , pending 
APP00602,CUST1318,Olivia Brown,12-Jan-2026,,68550,36,7.73,,Self-Employed,approved
APP00252,CUST1927,Michael Johnson,21/01/2026,Mortgage,38257,,,29860,Student,
APP00729,CUST2007,,2023/11/04,Mortgage,18523,36,,,Unemployed, pending 
APP00335,CUST2356,,"June 11, 2025",Mortgage,,36,3.69,126000,Unemployed, pending 
APP00342,CUST1236,,"October 10, 2024",,,60,,,Self-Employed,Approved
APP00889,CUST2009,Michael Taylor,05-29-2024,,42093,48,,,, pending 
APP00204,CUST1428,Emma Smith,10-15-2025,Education Loan,34483,,14.97,,, pending 
APP00860,CUST2405,,2023/09/28,personal loan,,,,25693,Unemployed,Pending
APP00371,CUST1004,,27-Aug-2024,Education Loan,76023,36,,64918,employed,Rejected
APP00615,CUST2303,Daniel Brown,29-Jan-2026,,20748,60,8.21,,,Pending
APP00038,CUST1070,,06-19-2025,,,,,,employed,Under Review
APP00340,CUST2727,Michael Taylor,2023-12-20,personal loan,59082,12,9.08,124787,Employed,Rejected
APP00067,CUST1378,Michael Johnson,"February 01, 2025",,16149,60,,73104, employed ,approved
APP00339,CUST2314,Emma Taylor,2023/07/17,Education Loan,,12,,,employed,Under Review
APP00578,CUST1492,Emma Taylor,2025/12/17,Education Loan,,36,,,Student, pending 
APP00373,CUST1651,Daniel Smith,"July 21, 2024",Personal Loan,,60,10.59,41439,Student,Under Review
APP00880,CUST2582,John Taylor,11-24-2024,Mortgage,95759,12,,35872,,Pending
APP00566,CUST1571,Daniel Brown,29-Aug-2024,Education Loan,59299,48,13.22,,,approved
APP00516,CUST2810,Sophia Johnson,"November 29, 2024",,86152,60,5.33,143646, employed ,
APP00566,CUST1726,,2025-03-27,Car Loan,35770,60,4.74,27655,Unemployed,Approved
APP00465,CUST1215,Michael Johnson,12-04-2024,personal loan,66761,36,8.1,,employed,Under Review
APP00095,CUST1393,Olivia Anderson,22/03/2026,Personal Loan,6092,60,4.11,,Self-Employed, pending 
APP00310,CUST1043,,28/07/2023,Personal Loan,63651,12,14.17,60905,employed,Rejected
APP00623,CUST2773,Michael Brown,11-22-2023,Personal Loan,51858,12,8.62,115532,Self-Employed,Approved
APP00083,CUST1662,Olivia Johnson,16/04/2024,Education Loan,18599,60,,,Employed,Pending
APP00668,CUST1262,,2024-10-10,Mortgage,,,6.65,,Unemployed,Approved
APP00001,CUST1425,John Johnson,18/09/2023,personal loan,99557,,,100357, employed ,Under Review
APP00161,CUST1737,Emma Taylor,2025/03/12,Mortgage,33573,48,,47936,Employed,approved
APP00090,CUST2222,Olivia Johnson,07-23-2024,Mortgage,36060,12,,,Employed,Under Review
APP00049,CUST1339,Olivia Smith,17-Oct-2024,personal loan,,36,7.16,, employed ,Pending
APP00501,CUST2159,Olivia Brown,05/05/2025,,,36,5.15,,,
APP00677,CUST2357,,02/03/2026,Mortgage,,48,,92665,Student,Pending
APP00554,CUST2226,Olivia Taylor,06-06-2024, Business Loan ,,12,,98489,Self-Employed,approved
APP00582,CUST1663,Daniel Johnson,06-Feb-2025,Personal Loan,40196,12,,,Unemployed,Pending
APP00684,CUST2371,Olivia Brown,22-Jul-2025,personal loan,26090,36,14.79,107186,Self-Employed,Pending
APP00889,CUST2276,Olivia Brown,07-25-2024,Education Loan,52546,,3.53,, employed ,
APP00837,CUST2861,,09/10/2025,personal loan,,12,,,employed,
APP00570,CUST1923,Olivia Anderson,14/02/2026,Car Loan,93534,,,40084,employed, pending 
APP00553,CUST2930,,07/11/2023,Education Loan,19786,24,14.36,,Employed,Approved
APP00047,CUST1950,,03/07/2025,Education Loan,47969,48,4.66,,Self-Employed,Approved
APP00486,CUST2516,,"December 26, 2024",Mortgage,,36,,,Self-Employed, pending 
APP00243,CUST2116,John Smith,02-28-2026,personal loan,6994,,,81785,Unemployed,approved
APP00206,CUST1840,Emma Johnson,2023/08/16, Business Loan ,55121,24,,,employed, pending 
APP00325,CUST2726,,"September 15, 2023",,,,,65534,Student,approved
APP00398,CUST1987,Daniel Brown,"December 10, 2024",Car Loan,,36,11.62,,,Pending
APP00739,CUST2112,Emma Anderson,11/04/2025,Mortgage,,60,,132022, employed ,Approved
APP00374,CUST1650,Olivia Taylor,09-22-2025,Education Loan,32241,,,,Employed,Pending
APP00720,CUST2105,Emma Smith,26/06/2025,personal loan,,24,14.46,,Student,Under Review
APP00738,CUST2853,Olivia Smith,2025/10/09,Mortgage,33899,12,,38441,,Rejected
APP00345,CUST2642,,2025/06/13,Education Loan,25232,,,,Self-Employed, pending 
APP00456,CUST1943,,09/02/2025,personal loan,97075,60,4.44,,Unemployed,
APP00714,CUST2644,,14/08/2024,Personal Loan,44964,12,10.52,,employed,Approved
APP00201,CUST2317,John Johnson,2023/12/13,Education Loan,,36,,38604,,
APP00492,CUST2764,Sophia Anderson,08-12-2025,Education Loan,26229,12,,,Employed,Pending
APP00641,CUST1465,,08-21-2025,Personal Loan,,48,,130091,employed, pending 
APP00113,CUST2443,,27/06/2025,,12154,24,,,,Under Review
APP00853,CUST2864,Sophia Anderson,28/05/2025,personal loan,47733,36,9.11,,Unemployed,
APP00561,CUST1935,Emma Anderson,"November 15, 2023", Business Loan ,,60,,81323,Student,approved
APP00600,CUST2399,Emma Smith,2024-01-07,personal loan,,12,13.34,59219,Self-Employed, pending 
APP00206,CUST2688,,09-16-2023,Mortgage,,48,,,,Under Review
APP00869,CUST2419,John Taylor,05/12/2025,Personal Loan,45245,48,9.08,, employed ,Pending
APP00804,CUST1887,Sophia Brown,2023/12/13,Personal Loan,9391,24,12.86,44318, employed ,Rejected
APP00503,CUST2820,John Brown,2026/01/26,Education Loan,,48,,126109,employed,Pending
APP00115,CUST2950,Emma Anderson,29/10/2024,Mortgage,41309,60,11.55,86817,Self-Employed,Approved
APP00400,CUST2044,Olivia Smith,23/12/2024,Education Loan,,24,,115727, employed ,approved
APP00652,CUST2521,Sophia Smith,28-Aug-2023,personal loan,75047,24,,53727,employed,
APP00405,CUST2994,Emma Brown,2025-09-20,Education Loan,26275,,5.6,,Employed,Pending
APP00133,CUST2580,,10-15-2023,Education Loan,,48,,,Student,
APP00154,CUST1412,Sophia Brown,09-05-2025,Mortgage,58941,48,,37515,Student,Approved
APP00871,CUST1137,Sophia Taylor,07-18-2023,Car Loan,,60,,132779,,Approved
APP00545,CUST2411,Sophia Anderson,"August 11, 2025",personal loan,26369,60,,,Student,Approved
APP00766,CUST1948,Daniel Anderson,03-27-2024,Mortgage,,48,10.42,63983,,
APP00513,CUST1133,Michael Anderson,2025-11-15,Education Loan,,24,11.7,108107,Student,Pending
APP00730,CUST2879,Sophia Brown,"February 25, 2026",Car Loan,88169,36,,,Employed,Rejected
APP00643,CUST2735,,"October 31, 2024",Car Loan,,60,,116379, employed ,Under Review
APP00197,CUST1572,John Anderson,06-May-2024,Personal Loan,59213,36,12.8,43701,Unemployed,
APP00087,CUST1988,Daniel Anderson,10-Mar-2024,personal loan,79724,60,7.94,,Unemployed, pending 
APP00395,CUST1866,Sophia Brown,05-Nov-2024,,97982,24,,,Employed,Approved
APP00882,CUST2989,Michael Johnson,23/12/2024,Education Loan,,,4.11,, employed ,Under Review
APP00535,CUST1479,Emma Smith,16/01/2024,personal loan,99543,48,,, employed ,Pending
APP00471,CUST1832,John Johnson,2025-10-18,Education Loan,67045,12,7.21,,Self-Employed,Approved
APP00292,CUST1970,Sophia Taylor,"October 02, 2025",Mortgage,63130,60,12.33,,Self-Employed,Pending
APP00582,CUST1286,John Johnson,"March 16, 2025",Car Loan,10310,36,8.51,135258, employed ,approved
APP00611,CUST1606,Sophia Anderson,2023/08/21,,18032,12,13.21,,Unemployed,Rejected
APP00291,CUST2618,John Smith,2023/07/18,Mortgage,,36,,, employed , pending 
APP00502,CUST2662,Sophia Taylor,10-09-2024,Personal Loan,,48,,96807,Self-Employed,Rejected
APP00462,CUST2789,Daniel Taylor,28-Sep-2024,Mortgage,29274,60,,,Student,approved
APP00666,CUST1454,,10-30-2023,Car Loan,,60,,99524,Employed, pending 
APP00514,CUST2423,John Johnson,15-Mar-2024,personal loan,27625,,3.9,,Unemployed,Pending
APP00617,CUST2063,Daniel Johnson,2025/05/13,,,36,9.86,20264,,Approved
APP00821,CUST1270,John Smith,"February 19, 2024",Education Loan,99075,,,,Self-Employed,approved
APP00457,CUST1546,,16/01/2026,,,12,,29904,employed,Rejected
APP00440,CUST1516,Sophia Brown,08-09-2024,Car Loan,,12,,,Self-Employed,approved
APP00460,CUST2495,,05/07/2024,Mortgage,,60,,,Self-Employed,approved
APP00702,CUST2326,,2025-07-02,Mortgage,,36,9.69,,Employed,Approved
APP00344,CUST2008,Olivia Johnson,27/12/2023,Education Loan,43303,60,7.41,, employed ,Under Review
APP00533,CUST1690,Emma Brown,12/01/2025,Personal Loan,,12,8.78,97035,Employed,Rejected
APP00777,CUST1317,Daniel Brown,2024-05-29,Car Loan,,12,,,Unemployed,approved
APP00669,CUST2383,,29-Aug-2023,Education Loan,,60,8.35,,Self-Employed,Pending
APP00321,CUST1419,Michael Smith,2023/12/12,Education Loan,87368,60,,41536,,Approved
APP00301,CUST1628,Sophia Brown,2025-02-04, Business Loan ,,12,,,Student, pending 
APP00060,CUST2747,,15-Jul-2023,Mortgage,78464,12,,66666, employed ,Approved
APP00806,CUST1469,Daniel Brown,02-09-2026,,13088,48,,,Self-Employed, pending 
APP00725,CUST1531,,22/04/2025, Business Loan ,83465,12,12.2,134919, employed ,Pending
APP00258,CUST1451,Emma Taylor,01-Feb-2025, Business Loan ,,48,,,employed,Pending
APP00098,CUST2436,John Smith,29-Feb-2024,,68021,48,13.43,114345,employed,Rejected
APP00281,CUST2814,Daniel Anderson,01-08-2025,Mortgage,12998,12,3.61,133452,,
APP00440,CUST2266,Michael Brown,08-13-2025, Business Loan ,12947,12,12.8,105602,Self-Employed,
APP00322,CUST1805,John Brown,04-16-2025,personal loan,,48,,, employed ,Pending
APP00577,CUST2188,,02-05-2024,Education Loan,41842,24,13.48,,,Pending
APP00162,CUST1934,Emma Smith,2026-02-13,Education Loan,75848,36,6.64,,,Rejected
APP00824,CUST2206,Emma Johnson,2025-03-19,Car Loan,32750,24,14.77,,Employed, pending 
APP00504,CUST1063,John Smith,05/09/2023,Personal Loan,41987,36,,,Unemployed,Pending
APP00260,CUST1490,,2023/08/30,Mortgage,,,,,Unemployed,Rejected
APP00354,CUST1488,John Smith,14/09/2024,Mortgage,57239,60,5.91,84507, employed ,
APP00708,CUST1196,,2025/12/10,personal loan,13298,60,,43522,Student,Under Review
APP00336,CUST2784,,10-Aug-2024,Personal Loan,47479,24,,,Unemployed,Pending
APP00349,CUST1886,Daniel Brown,09-Oct-2024,Personal Loan,39287,24,13.98,36863,, pending 
APP00090,CUST2576,Emma Taylor,07-31-2025, Business Loan ,45720,12,,,Student,Approved
APP00038,CUST2129,Sophia Johnson,22/08/2025,Mortgage,66645,48,4.74,144617,,Rejected
APP00752,CUST1409,Daniel Brown,2025-05-12,personal loan,,24,,53846, employed ,approved
APP00106,CUST1707,Daniel Smith,"August 03, 2023", Business Loan ,,24,,,Unemployed,Approved
APP00031,CUST2509,Emma Johnson,"November 26, 2025",Mortgage,85375,48,,143001,Student,Pending
APP00203,CUST2410,John Johnson,08-20-2025,,90843,,,,Unemployed,approved
APP00413,CUST1216,Emma Anderson,09-Jul-2023,,53769,36,,81099,Employed,approved
APP00431,CUST1123,Michael Johnson,"March 17, 2025",,39492,60,,142319, employed ,Rejected
APP00186,CUST1679,,01-11-2026,Education Loan,,12,,116167,,Approved
APP00766,CUST2896,Sophia Brown,2025/01/16,,,48,7.84,133133, employed ,
APP00861,CUST1837,,"August 06, 2025",Mortgage,87713,60,6.18,48011,Self-Employed,approved
APP00210,CUST1390,Emma Smith,2024-04-12,Education Loan,57169,36,,,Student,Pending
APP00377,CUST2411,John Taylor,"March 16, 2026",Mortgage,99357,60,,106408,employed,Pending
APP00683,CUST2001,,"October 12, 2025",,64274,12,,,,
APP00829,CUST1229,,16/12/2023,Car Loan,,24,,,Student,Approved
APP00494,CUST2421,Olivia Anderson,"September 14, 2023", Business Loan ,,60,14.19,142908,Unemployed,Under Review
APP00493,CUST2211,Daniel Brown,09/10/2024, Business Loan ,,36,,72704,Unemployed,Rejected
APP00857,CUST1876,,2025-05-11,Personal Loan,,36,4.81,70104,Unemployed,Pending
APP00174,CUST1145,Emma Anderson,01/06/2025,personal loan,63423,36,,,, pending 
APP00218,CUST1390,,07-Aug-2024,,52145,,14.76,,Employed,Pending
APP00180,CUST1164,,27/12/2023,personal loan,,60,,64766,employed,Under Review
APP00653,CUST2151,,2025/09/12,Personal Loan,,24,10.01,70467,Student,Pending
APP00749,CUST1626,,2024/06/27, Business Loan ,,,,,Unemployed,
APP00031,CUST2666,Michael Johnson,01-08-2026,,,,,65796,,Pending
APP00449,CUST1228,,"July 11, 2023",Car Loan,39668,48,,47937,Self-Employed, pending 
APP00781,CUST1297,,20-May-2024,personal loan,,60,,, employed ,Approved
APP00108,CUST2338,,2023-09-05,Education Loan,,60,6.01,117959,employed,Pending
APP00067,CUST1041,Michael Anderson,2023-08-14,Education Loan,83091,,,,Unemployed,approved
APP00804,CUST2107,Daniel Anderson,03/12/2025,Car Loan,,12,6.73,,Employed, pending 
APP00867,CUST1779,Emma Anderson,10-31-2023,Personal Loan,,24,12.11,,Student,
APP00196,CUST1974,Michael Smith,05/11/2025,,,12,13.03,,,Approved
APP00144,CUST1945,Michael Taylor,2024-03-19,personal loan,52392,24,7.39,,Student,Approved
APP00279,CUST1359,,11-Feb-2024,Personal Loan,,12,,40263,Unemployed, pending 
APP00891,CUST2534,,20/03/2025,personal loan,,36,6.94,114962,Self-Employed, pending 
APP00124,CUST1885,,09-Sep-2023,,,60,,, employed ,Pending
APP00064,CUST1592,Michael Brown,2024/03/10,Education Loan,24340,,,,employed,Approved
APP00605,CUST2795,John Taylor,05-03-2024,,35497,12,,,Employed, pending 
APP00010,CUST2924,,2025-08-13,Education Loan,,,,145384,employed,Under Review
APP00296,CUST1760,,11-07-2025,Personal Loan,51843,48,,124106,Employed,Approved
APP00200,CUST1263,,28/09/2023,Car Loan,30399,12,7.33,,employed,Rejected
APP00688,CUST2905,Michael Smith,11-09-2023,Car Loan,76959,60,,20514,employed,Approved
APP00685,CUST1888,,24-Sep-2024,Personal Loan,,24,14.12,131530,,Rejected
APP00675,CUST1932,,2025/06/09,,68666,12,,68418,,
APP00440,CUST1160,,2023/11/26,Mortgage,40044,48,,44209,employed,Approved
APP00859,CUST2810,Olivia Anderson,11-07-2025,Education Loan,30632,24,14.97,23850, employed ,Pending
APP00597,CUST2429,John Taylor,2025-07-23,,,12,7.17,,Unemployed, pending 
APP00789,CUST1228,John Smith,2025-11-30,,,,12.46,,Self-Employed,Pending
APP00092,CUST2590,Daniel Johnson,11-06-2025, Business Loan ,79656,24,4.32,,Student, pending 
APP00226,CUST1256,Michael Anderson,"January 11, 2026", Business Loan ,,60,,58230,Self-Employed,Under Review
APP00515,CUST1240,Daniel Brown,"January 10, 2026",Mortgage,86987,24,,, employed ,Pending
APP00019,CUST1370,Emma Taylor,21/02/2025,Mortgage,,24,12.71,,,
APP00165,CUST1430,Emma Anderson,02-24-2026,Personal Loan,36593,60,5.52,34895, employed ,Rejected
APP00584,CUST1116,,"September 03, 2024",Car Loan,,48,,41272,,Rejected
APP00334,CUST1886,Emma Taylor,"January 26, 2026",,,60,,,Self-Employed,
APP00400,CUST1451,Emma Brown,2025-09-16,Education Loan,,36,10.86,60855,Unemployed,Approved
APP00649,CUST2709,,11-28-2025, Business Loan ,,,8.62,80347,Student,Rejected
APP00399,CUST1751,Emma Taylor,12-Mar-2026,Education Loan,54897,24,,85696,Self-Employed,approved
APP00766,CUST1973,Sophia Anderson,"April 03, 2024",Education Loan,44885,48,,81371,employed,Under Review
APP00670,CUST2553,Michael Smith,"April 18, 2024",Car Loan,50711,36,4.81,23617,employed,
APP00622,CUST1273,Olivia Taylor,09-30-2024,personal loan,88074,12,5.72,,,
APP00794,CUST2138,,2023-07-27,Mortgage,11086,12,6.73,,employed, pending 
APP00245,CUST2601,Daniel Brown,15/04/2025,Personal Loan,,48,13.01,31430, employed ,approved
APP00434,CUST1626,Olivia Brown,"April 01, 2025",Mortgage,,,,,employed,Rejected
APP00329,CUST2637,,2025/02/03,Car Loan,55839,12,14.86,47933, employed , pending 
APP00725,CUST1430,Emma Johnson,"May 27, 2025",personal loan,,24,,74212,Self-Employed,Pending
APP00824,CUST2112,Sophia Taylor,07-02-2025,Personal Loan,39098,12,,,employed,
APP00081,CUST2329,Sophia Smith,"January 23, 2024",Car Loan,55195,36,9.81,,Student,Pending
APP00804,CUST1325,Emma Taylor,"December 19, 2025",Personal Loan,44125,12,13.42,119259,Student,
APP00640,CUST2369,John Anderson,2025-07-29,Personal Loan,15335,60,,104602,Unemployed,Rejected
APP00180,CUST2702,Olivia Taylor,09-29-2024,Car Loan,62270,48,4.33,,Unemployed,Pending
APP00754,CUST2772,Emma Brown,05-01-2024,personal loan,,12,,101481,Employed,approved
APP00009,CUST2203,,2023/10/30,personal loan,,12,,,Unemployed,approved
APP00449,CUST1709,,08-17-2024,personal loan,71562,36,6.86,149101, employed ,
APP00543,CUST2570,Emma Smith,"September 06, 2023",Education Loan,43385,,3.77,,employed,Pending
APP00338,CUST2536,Daniel Smith,2025-02-08,personal loan,62505,12,,,,
APP00009,CUST2978,John Anderson,2026/02/24,Education Loan,,36,,, employed ,approved
APP00775,CUST2991,John Smith,2026/02/10,personal loan,13153,24,,73504, employed ,Pending
APP00821,CUST1357,Sophia Smith,04-23-2024,,,12,6.74,78280, employed , pending 
APP00336,CUST2683,John Anderson,2025/05/27,personal loan,17277,60,13.72,144935,Employed,Approved
APP00505,CUST1036,,06-03-2024,Personal Loan,23770,60,11.42,,Unemployed, pending 
APP00405,CUST1567,,29/07/2024, Business Loan ,81390,12,8.34,79088,Self-Employed,Pending
APP00818,CUST1086,,"March 21, 2024", Business Loan ,42592,36,,116310,Employed,approved
APP00625,CUST1955,Daniel Smith,2024/08/23,Car Loan,26062,24,6.55,141881,, pending 
APP00364,CUST2561,Sophia Anderson,02-27-2026,personal loan,66811,36,10.28,,Employed,Approved
APP00499,CUST2285,John Brown,07-03-2024,Mortgage,76275,48,8.69,61300,employed,
APP00650,CUST1265,,27-Mar-2025,Mortgage,98869,60,13.4,,Employed,Rejected
APP00773,CUST2656,,24-Feb-2024,Car Loan,88657,48,,82562,employed,
APP00184,CUST1295,Sophia Brown,2023-09-14,Car Loan,61171,,9.52,138126,employed, pending 
APP00747,CUST2732,John Taylor,2026-01-10,Personal Loan,,,11.05,,Student,Under Review
APP00537,CUST2727,Michael Taylor,05-Nov-2023,,86518,,,,employed,Rejected
APP00693,CUST2756,,2024/01/18,Personal Loan,38558,24,,76846, employed ,Pending
APP00125,CUST1784,Emma Smith,26-Aug-2024,Car Loan,94325,24,6.08,,Unemployed,
APP00541,CUST1833,John Smith,23/12/2024,personal loan,20908,36,,37846,employed, pending 
APP00333,CUST2897,Michael Smith,"February 28, 2026",Mortgage,28050,24,,,Employed,Pending
APP00065,CUST2299,Daniel Smith,02-15-2026,Personal Loan,,36,5.54,88624,Student,Approved
APP00364,CUST1936,,2024-06-17,Personal Loan,,24,8.17,,Student,
APP00732,CUST2464,,"March 15, 2024",Personal Loan,37689,12,14.75,,employed,Approved
APP00544,CUST1291,Daniel Johnson,"July 05, 2024",Mortgage,,36,10.53,,, pending 
APP00025,CUST2862,John Smith,04/12/2024,,,12,,,Student,Approved
APP00430,CUST1999,Sophia Smith,2024-09-20,Mortgage,,48,7.5,,Self-Employed,Rejected
APP00803,CUST1050,John Anderson,27/03/2025,Car Loan,26964,36,,,,Pending
APP00316,CUST1374,,2024/03/03, Business Loan ,,,4.19,,,Pending
APP00887,CUST1909,Emma Anderson,09-08-2023, Business Loan ,31633,60,4.0,,Student,Under Review
